method,path,module,auth_required,auth_mechanism,permission,allowed_roles,company_context,tenant_scoped,resource_ownership,platform_admin_behavior,repository_scope,side_effects,status,evidence
GET,/storage-health,absence-attachment.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id/attachments,absence-attachment.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/:id/attachments,absence-attachment.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id/attachments/:attachmentId/content,absence-attachment.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
DELETE,/:id/attachments/:attachmentId,absence-attachment.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
GET,/default,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/bootstrap-default,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
PATCH,/:calendarId,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
