id,severity,classification,type,category,title,component,file,line,impact,root_cause,variant_count,confidence,recommended_action
CQ-001,HIGH,DEFECTO_CONFIRMADO,CORRECTNESS_DEFECT,domain-rules,Bot ignores company geofence review margin,backend,backend/src/services/bot-runtime-settings.service.ts,27,Company setting unused; env margin always applied,config dual-home without single resolver on bot path,3,HIGH,Use companyOperationalDefaultsResolver in bot runtime
CQ-002,MEDIUM,DEFECTO_CONFIRMADO,CORRECTNESS_DEFECT,domain-rules,geolocation.service uses env radius/margin only,backend,backend/src/services/geolocation.service.ts,22,Divergent geofence path,duplicate geofence entrypoints,2,HIGH,Route through shared defaults resolver
CQ-003,MEDIUM,DEFECTO_CONFIRMADO,CORRECTNESS_DEFECT,domain-rules,Bot simulator hardcodes env review margin,backend,backend/src/services/bot-simulator.service.ts,430,Simulator ≠ production company settings,same as CQ-001,1,MEDIUM,Align simulator with resolver
CQ-004,MEDIUM,DEFECTO_CONFIRMADO,SECURITY_DEFECT,frontend,JWT stored in localStorage,frontend,frontend/src/api/token-storage.ts,7,XSS would steal session token,token storage choice,1,HIGH,Prefer memory/httpOnly cookie pattern if feasible
CQ-005,MEDIUM,RIESGO_PROBABLE,RELIABILITY_RISK,exceptions,Settings load failure falls back to env silently,backend,backend/src/services/bot-runtime-settings.service.ts,62,Attendance rules change without loud failure,fail-open defaults,1,MEDIUM,Fail closed or alert on settings read errors
CQ-006,MEDIUM,RIESGO_PROBABLE,RELIABILITY_RISK,exceptions,Absence impact query failure returns [],backend,backend/src/services/absence-request.service.ts,522,Operators miss operational conflicts,swallow to empty,1,MEDIUM,Surface error to UI
CQ-007,LOW,DEFECTO_CONFIRMADO,ARCHITECTURAL_DEBT,god-module,Checkout attendance flow god module,backend,backend/src/services/bot/checkout-attendance.flow.ts,1,High change/regression cost,orchestration concentration,8,HIGH,Split validation vs messaging gradually
CQ-008,LOW,RIESGO_PROBABLE,RELIABILITY_RISK,async,WhatsApp correlate timeout swallowed,backend,backend/src/services/whatsapp-bot.service.ts,512,Lost observability correlation,fire-and-forget,2,MEDIUM,Metric on swallow
CQ-009,INFO,DESCARTADO,CODE_SMELL,ssrf,Twilio media fetch SSRF,backend,absence-attachment-whatsapp.service.ts,59,N/A — controls present,n/a,0,HIGH,Keep allowlist tests
CQ-010,INFO,DESCARTADO,CODE_SMELL,xss,Frontend HTML sinks,frontend,frontend/src,0,No sinks found,n/a,0,HIGH,Keep lint bans
CQ-011,INFO,DEFECTO_CONFIRMADO,MAINTAINABILITY,state-machine,Attendance lacks shared transition table,backend,backend/src/services/attendance.service.ts,240,Harder to audit than absences,embedded transitions,1,MEDIUM,Extract transition module
CQ-012,LOW,RIESGO_PROBABLE,AUDIT_READINESS,scanners,Reliability scanner returned 0 (FN risk),scripts,scripts/audit/framework/scanners/reliability.py,0,False sense of reliability cleanliness,heuristic miss,1,MEDIUM,Tune paths; keep manual review
