finding_id,area,remediation,status,notes
ARCH-GOD-CHECKOUT,checkout-attendance.flow,God module still multi-responsibility (~1252 LOC),PARTIALLY_REMEDIATED,Orchestrator remains; only stable seams extracted
ARCH-GOD-CHECKOUT-HYDRATION,checkout-attendance.flow,Extract duplicate simulation hydration,DONE,attendanceRecordFromVirtualCheckIn
ARCH-GOD-CHECKOUT-RESULTCODE,checkout-attendance.flow,Extract duplicate result-code mapping,DONE,resolveCheckoutWhatsAppResultCode + roundCheckoutDistanceMeters
ARCH-GOD-REMINDER,attendance-reminder.service,God module still multi-responsibility (~1177 LOC),PARTIALLY_REMEDIATED,Send pipeline + fan-out remain
ARCH-GOD-REMINDER-OUTCOME,attendance-reminder.service,Extract outcome classification,DONE,classifyReminderSendOutcome
ARCH-GOD-REMINDER-KINDCOUNTS,attendance-reminder.service,Extract kind-count aggregation,DONE,emptyReminderKindCounts + mergeReminderKindCounts
ARCH-COUPLING-OPS,operation/assignment,Review deps; no circular import,REVIEWED_DEFERRED,operation-assignment-core already exists
ARCH-STATE-CHECKOUT,checkout statuses,Keep single policy in checkout-validation,CONFIRMED,No alternate transition path added
ARCH-SE-CHECKOUT,side effects,Document evaluate→persist→notify,CONFIRMED,Outbound best-effort after durable commit
ARCH-ANY-SIM,simulation status types,Type VirtualAttendanceRecord statuses; remove adapter casts,DONE,Low-scope type fix; one bad test fixture corrected
ARCH-DEFER-ABSENCE,absence-request,No structural split in 4C,DEFERRED,Protect 4B error semantics
ARCH-DEFER-INVITE,user-invitation,No structural split in 4C,DEFERRED,Protect 4A token/preview
ARCH-DEFER-PAYROLL,payroll-receipt,No structural split in 4C,DEFERRED,Notifications already separated
ARCH-DEFER-RECURRING,recurring-workday,No structural split in 4C,DEFERRED,Protect 4B locks
