finding_id,area,risk,action,status,evidence,phase5_retest
LOC-P1-001,rate-limit,P1,distributed rate-limit store (4A/4B),REMEDIATED,prior phase + RATE_LIMIT_* events,shared-state rate limit under multi-instance
LOC-P1-002,attendance/webhook,P1,MessageSid idempotency + payload anomaly (4A/4D),REMEDIATED,claimInboundMessage / twilio tests,replay same sid same/different payload
LOC-P1-003,invitations,P1,token hashing + POST preferred + URL redaction,PARTIALLY_REMEDIATED,log-redaction + GET deprecated retained,token redaction + invitation lifecycle
LOC-P1-004,jobs,P1,distributed job locking (4B),REMEDIATED,phase-4b evidence,concurrent worker lock
LOC-P1-005,geolocation,P1/P2,server-authoritative validation; spoofing residual,ACCEPTED_RESIDUAL,location-fraud-review.md,location anomaly / residual honesty
LOC-P1-006,CORS,P2,explicit allowlist + HTTP tests,REMEDIATED,cors-policy-review.md + cors-policy.http.test.ts,CORS origin allow/deny/no-Origin
LOC-P1-007,legacy routes,P2,inventory + parity tests; GET preview retained deprecated,PARTIALLY_REMEDIATED,legacy-route-inventory.csv,legacy/preferred auth parity
LOC-P1-013 / CF-2D-008,audit config,P2,framework audit readiness; product docs entrypoints,REMEDIATED,docs/security/* + phase-5 matrix,security test entrypoints metadata
LOC-P1-015,JWT lifecycle,P1,token version / logout (4B),REMEDIATED,phase-4b,revoked token / logout
4E-LOG,logging,P2,sanitizeObject/Headers + tests,REMEDIATED,log-redaction.test.ts,Authorization/Cookie/token redaction
4E-ERR,error boundary,P2,client-safe 500 test,REMEDIATED,error-handler.security.test.ts,no stack/SQL in response
4E-TWILIO,twilio,P1,signature event codes + verified tests,REMEDIATED,twilio-hardening-review.md,valid/invalid/missing signature
4E-COMPANY,twilio routing,P2,document multi-company residual,ACCEPTED_RESIDUAL,twilio-hardening-review.md,unknown destination / ambiguous company
