event_code,source,observable,actionable,contains_secrets,notes
AUTH_INVALID_TOKEN,authenticate middleware,yes,yes,no,login/API rejection
AUTH_REVOKED_TOKEN / tokenVersion,authenticate,yes,yes,no,logout lifecycle (4B)
TENANT_ACCESS_DENIED,company-context,yes,yes,no,cross-tenant
FORBIDDEN / permission denial,requirePermission,yes,yes,no,RBAC
RATE_LIMITED,rate-limit,yes,yes,no,abuse signal
RATE_LIMIT_STORE_UNAVAILABLE,rate-limit,yes,yes,no,ops critical
TWILIO_SIGNATURE_INVALID,validate-twilio-signature,yes,yes,no,event field logged
TWILIO_SIGNATURE_CONFIG_MISSING,validate-twilio-signature,yes,yes,no,config
PAYLOAD_ANOMALY / WEBHOOK_REPLAY_ANOMALY,webhook claim,yes,yes,no,MessageSid hash mismatch
IDEMPOTENT_REPLAY,webhook claim,yes,low,no,benign retry
INVITATION rejection,invitation service,yes,yes,no,INVALID/expired
attendance.validation.authoritative,systemLogger,yes,audit,no,server decision
attendance.create.legacy_derived_fields_ignored,console,yes,low,no,compat signal
CONFIG / lock failures,job runners,yes,yes,no,4B distributed lock
http.request.failed,error-handler,yes,yes,no,client-safe message
