finding_id,title,phase_closed,phase5_retest_procedure,expected_result,priority
LOC-P1-001,Distributed rate limiting,4A/4B,Two instances share rate-limit store; exceed max from same key,429 RATE_LIMITED across instances,P1
LOC-P1-002,Client-controlled attendance validation,4A,"POST attendance with far coordinates + client validationStatus=VALID + locationStatus=INSIDE_GEOFENCE + fake distanceMeters + chosen punctualityStatus",Server ignores client-derived fields; recalculates geofence/distance/punctuality from evidence + server clock; persists server decision,P1
TWILIO-WEBHOOK-IDEMPOTENCY,MessageSid idempotency + payload anomaly,4A/4D,Replay same MessageSid+payload then same SID different payload,Idempotent then PAYLOAD_ANOMALY (distinct from LOC-P1-002),P1
LOC-P1-003,Invitation token protection,4A/4E,Preview POST; GET deprecated; access log must not show raw token,Redacted logs; short-lived/single-use semantics,P1
LOC-P1-004,Distributed job lock,4B,Two workers claim same job lease,Only one owner; lock failure observable,P1
LOC-P1-005,Location spoofing residual,4A/4E,Confirm server-authoritative path; document that physical GPS spoof remains possible,Client authority ignored; spoof residual ACCEPTED,P1
LOC-P1-006,CORS policy,4E,Allowed/unknown Origin + no Origin + OPTIONS,Allowlist headers only for allowed; no-Origin not blocked by CORS,P2
LOC-P1-007,Legacy route parity,4E,Compare GET vs POST invitation preview middleware; workers vs employees auth,Same handler/guards; no auth bypass on legacy,P2
LOC-P1-015,Logout / JWT revocation (original finding),4B,Logout then reuse access token,Rejected via token_version / revoked semantics — ORIGINAL FINDING REMEDIATED,P1
CQ-004,JWT in localStorage,4B,Document residual only (no XSS exploit required),RESIDUAL — not a Phase 5 attack unless XSS present,P2
SESSION-ARCHITECTURE,Refresh/session table debt,4B,Confirm no refresh/session table claimed as remediating LOC-P1-015,RESIDUAL architecture debt — do not reopen LOC-P1-015,P2
4E-LOG,Log redaction,4E,Emit Authorization/Cookie/query token through sanitizers,No raw secret in output,P2
4E-TWILIO,Twilio signature,4E,Valid SDK signature vs invalid vs missing,200/TwiML path vs 403 codes,P1
4E-ERR,Error boundary,4E,Force unhandled Error with SQL/stack,Client INTERNAL_SERVER_ERROR safe message only,P2
