area,site,sensitive_data,classification,redaction,status,notes
access-logger,morgan :safe-url,query token/password/secret,secret,sanitizeUrlForLogs,REMEDIATED,Phase 4A + 4E tests
log-redaction,sanitizeHeadersForLogs,Authorization/Cookie,secret,REDACTED,REMEDIATED,4E expanded tests
log-redaction,sanitizeObjectForLogs,password/refreshToken/body keys,secret,REDACTED,REMEDIATED,4E added
log-redaction,phone fields,E.164 phone,sensitive,maskPhoneForLogs,REMEDIATED,masking
system-logs,sanitize.ts,Bearer/phone/email/keys,secret/sensitive,maskSensitiveFreeText,REMEDIATED,pre-existing
twilio-signature,middleware logs,body keys only (no Body text),operational,keys metadata,OK,no raw Body
whatsapp-company-context,resolution log,phone,sensitive,maskPhoneNumberForLog,OK,pre-existing
attendance.schema,legacy fields ignored log,none (event only),operational,n/a,OK,no coordinates
password-reset,console logs,userId/email meta,operational,no raw token,OK,reviewed
error-handler,client response,stack/SQL,excessive,stripped,REMEDIATED,4E security test
attendance.validation.authoritative,system log,distance/decision,operational,server fields,OK,avoid raw GPS in security events
