id,severity,classification,category,title,component,file,line,affected_flow,impact,exploitability,confidence,variant_count,recommended_action
LOC-P1-001,HIGH,DEFECTO_CONFIRMADO,rate-limiting,In-memory rate limiter ineffective across replicas,backend,backend/src/middleware/rate-limit.ts,8,auth login/2FA/reset/invitations,Brute-force budget scales with replicas,HIGH,HIGH,5,Shared rate-limit store or gateway
LOC-P1-002,HIGH,DEFECTO_CONFIRMADO,business-integrity,Attendance create trusts client validationStatus,backend,backend/src/schemas/attendance.schema.ts,20,POST /attendance,Fabricate VALID attendance without server geofence,MEDIUM,HIGH,2,Server-compute statuses; remove from schema
LOC-P1-003,HIGH,DEFECTO_CONFIRMADO,logging,Invitation tokens logged via morgan query string,backend,backend/src/app.ts,39,GET /invitations/preview,Token leak via logs,HIGH,HIGH,2,Redact query; move token; prod morgan format
LOC-P1-004,MEDIUM,DEFECTO_CONFIRMADO,concurrency,Jobs process-local isRunning without universal lease,backend,backend/src/jobs/recurring-workday-materialization.job.ts,9,background jobs,Multi-instance double processing,MEDIUM,HIGH,12,DB lease for all mutating jobs
LOC-P1-005,MEDIUM,RIESGO_PROBABLE,geolocation,WhatsApp coords client-trusted; forward check best-effort,backend,backend/src/utils/location-message-metadata.ts,1,WA check-in/out,GPS spoof / unflagged forward,MEDIUM,HIGH,3,Document residual; tighten review UX
LOC-P1-006,LOW,DEFECTO_CONFIRMADO,configuration,CORS allows missing Origin,backend,backend/src/app.ts,24,all HTTP,Low with Bearer-only,LOW,HIGH,1,Document intentional
LOC-P1-007,LOW,RIESGO_PROBABLE,api-surface,Dual mounts double operational surface,backend,backend/src/routes/index.ts,103,operational APIs,Larger DAST surface; legacy company resolve,LOW,HIGH,1,Deprecate legacy mount
LOC-P1-008,INFO,DEFECTO_CONFIRMADO,audit-tooling,Tenant isolation script incomplete tables,scripts,scripts/audit/audit_tenant_isolation.py,50,audit assurance,False sense of coverage,N/A,HIGH,1,Expand tables and SELECT patterns
LOC-P1-009,MEDIUM,DEFECTO_CONFIRMADO,docker,Base compose publishes SQL 1435,infra,docker-compose.yml,13,local/mis-deploy,DB network exposure if prod override missing,MEDIUM,HIGH,1,Always use prod compose; network policies
LOC-P1-010,MEDIUM,RIESGO_PROBABLE,whatsapp,Twilio signature can be disabled outside production,backend,backend/src/utils/twilio-webhook-signature.ts,40,webhooks,Forged WA messages if misconfigured,MEDIUM,HIGH,1,Fail closed; alert on disable
LOC-P1-011,LOW,RIESGO_PROBABLE,privacy,Invitation preview returns email for valid token,backend,backend/src/services/user-invitation.service.ts,590,invitation preview,PII if token leaked,LOW,HIGH,1,Minimize preview fields
LOC-P1-012,LOW,DEFECTO_CONFIRMADO,logging,Morgan dev format always on,backend,backend/src/app.ts,39,all HTTP,Verbose access logs everywhere,LOW,HIGH,1,Env-gated access log format
LOC-P1-013,INFO,DEFECTO_CONFIRMADO,security-program,Missing security-audit.yaml for SAST/DAST,repo,(missing),0,security pipeline,Cannot plug into security-agents without work,N/A,HIGH,1,Add localizador security-audit.yaml
LOC-P1-014,INFO,RIESGO_PROBABLE,trust-boundary,Platform admin cross-tenant power incl synthetic OWNER,backend,backend/src/repositories/whatsapp-message.repository.ts,142,platform admin,High blast radius if platform admin stolen,LOW,HIGH,3,Harden platform admin; audit reveal actions
LOC-P1-015,LOW,DEFECTO_CONFIRMADO,authn,No logout or token refresh endpoints,backend,backend/src/routes/auth.routes.ts,0,session lifecycle,Stolen JWT usable until expiry,MEDIUM,HIGH,1,Logout bumps tokenVersion; optional refresh rotation
