method,path_suffix,full_path_examples,module_file,authentication,authorization,public_classification,tenant_scoped,sensitivity,source_line
GET,/storage-health,/api/companies/:companyId/.../storage-health | /api/... (legacy)/storage-health,absence-attachment.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,17
GET,/:id/attachments,/api/companies/:companyId/.../:id/attachments | /api/... (legacy)/:id/attachments,absence-attachment.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,23
POST,/:id/attachments,/api/companies/:companyId/.../:id/attachments | /api/... (legacy)/:id/attachments,absence-attachment.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,30
GET,/:id/attachments/:attachmentId/content,/api/companies/:companyId/.../:id/attachments/:attachmentId/content | /api/... (legacy)/:id/attachments/:attachmentId/content,absence-attachment.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,38
DELETE,/:id/attachments/:attachmentId,/api/companies/:companyId/.../:id/attachments/:attachmentId | /api/... (legacy)/:id/attachments/:attachmentId,absence-attachment.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,45
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,19
GET,/default,/api/companies/:companyId/.../default | /api/... (legacy)/default,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,25
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,31
POST,/bootstrap-default,/api/companies/:companyId/.../bootstrap-default | /api/... (legacy)/bootstrap-default,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,38
PATCH,/:calendarId,/api/companies/:companyId/.../:calendarId | /api/... (legacy)/:calendarId,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,44
GET,/:calendarId/dates,/api/companies/:companyId/.../:calendarId/dates | /api/... (legacy)/:calendarId/dates,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,52
POST,/dates,/api/companies/:companyId/.../dates | /api/... (legacy)/dates,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,60
PATCH,/dates/:dateId,/api/companies/:companyId/.../dates/:dateId | /api/... (legacy)/dates/:dateId,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,67
POST,/calculate,/api/companies/:companyId/.../calculate | /api/... (legacy)/calculate,absence-calendar.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,77
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,absence-request-draft.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,33
GET,/:draftId,/api/companies/:companyId/.../:draftId | /api/... (legacy)/:draftId,absence-request-draft.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,48
POST,/:draftId/submit,/api/companies/:companyId/.../:draftId/submit | /api/... (legacy)/:draftId/submit,absence-request-draft.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,62
POST,/:draftId/attachments,/api/companies/:companyId/.../:draftId/attachments | /api/... (legacy)/:draftId/attachments,absence-request-draft.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,79
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,20
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,27
